Age (bin);Age;Cabin;Min(0);Class;AgeGroup;SurvivedCat;AgeSexShapeName;AgeGroupSize;EmbarkedIcon;PassCountLabel;AgeSexClass;Percent survived;Title;TitleFull;FamilySize;PointNew;MapPlaceLabel;EmbarkedIcon2;Embarked (titatic-ports.csv);EmbarkedName;Embarked;FamilySize (bin);Fare (bin);Fare;Name;Number of Records;Parch;PassengerId;Pclass;Point;Sex;SibSp;Survived;Ticket;Timestamp;city;country;lat;lon
45;49;D17;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 25.93";Adult female First;100;Dr;Dr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;25,9292;Leader, Dr. Alice (Farnham);1;0;797;1;1;female;0;1;17465;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;48;D17;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 25.93";Adult female First;100;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;25,9292;Swift, Mrs. Frederick Joel (Margaret Welles Barron);1;0;863;1;1;female;0;1;17466;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;41;D21;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 51.859999999999999";Adult female First;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;40;51,8625;Kenyon, Mrs. Frederick R (Marion);1;0;458;1;1;female;1;1;17464;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;16;D28;0;First;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 39.399999999999999";Teen female First;100;Miss;Miss;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;39,4;Lines, Miss. Mary Conover;1;1;854;1;1;female;0;1;PC 17592;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;47;D35;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 52.549999999999997";Adult female First;100;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;40;52,5542;Beckwith, Mrs. Richard Leonard (Sallie Monypeny);1;1;872;1;1;female;1;1;11751;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;19;D47;0;First;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 26.280000000000001";Teen female First;100;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;20;26,2833;Newsom, Miss. Helen Monypeny;1;2;137;1;1;female;0;1;11752;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
60;63;D7;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 77.959999999999994";Adult female First;100;Miss;Miss;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;60;77,9583;Andrews, Miss. Kornelia Theodosia;1;0;276;1;1;female;1;1;13502;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;21;D9;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 77.959999999999994";Adult female First;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;60;77,9583;Longley, Miss. Gretchen Fiske;1;0;628;1;1;female;0;1;13502;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;32,5;E101;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Webber, Miss. Susan;1;0;124;2;1;female;0;1;27267;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;27;E101;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 10.5";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;10,5;"Troutt, Miss. Edwina Celia ""Winnie""";1;0;718;2;1;female;0;1;34218;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;27;E121;0;Third;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 12.470000000000001";Adult female Third;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;0;12,475;Moor, Mrs. (Beila);1;1;824;3;1;female;0;1;392096;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;22;E33;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 55";Adult female First;100;Miss;Miss;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;40;55;Bowerman, Miss. Elsie Edith;1;1;357;1;1;female;0;1;113505;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;48;E33;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 55";Adult female First;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;40;55;Chibnall, Mrs. (Edith Martha Bowerman);1;1;167;1;1;female;0;1;113505;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;39;E44;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 55.899999999999999";Adult female First;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;40;55,9;Silvey, Mrs. William Baird (Alice Munger);1;0;578;1;1;female;1;1;13507;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;39;E67;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 79.650000000000006";Adult female First;100;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;60;79,65;Taussig, Mrs. Emil (Tillie Mandelbaum);1;1;559;1;1;female;1;1;110413;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;18;E68;0;First;Teen;Survived;Teen female;3;0;"Boarding passengers: 1
Avg. Fare: 79.650000000000006";Teen female First;100;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;60;79,65;Taussig, Miss. Ruth;1;2;586;1;1;female;0;1;110413;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
55;57;E77;0;Second;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 10.5";Adult female Second;0;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;10,5;Mack, Mrs. (Mary);1;0;773;2;1;female;0;0;S.O./P.P. 3;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;33;E8;0;First;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 53.100000000000001";Adult female First;100;Mrs;Mrs;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;40;53,1;Chambers, Mrs. Norman Campbell (Bertha Griggs);1;0;810;1;1;female;1;1;113806;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;F33;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult female Second;100;Miss;Miss;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;"Brown, Miss. Amelia ""Mildred""";1;0;346;2;1;female;0;1;248733;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;29;F33;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 10.5";Adult female Second;100;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;10,5;Nye, Mrs. (Elizabeth Ramell);1;0;67;2;1;female;0;1;C.A. 29395;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;34;F33;0;Second;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 10.5";Adult female Second;100;Mrs;Mrs;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;10,5;Lemore, Mrs. (Amelia Milley);1;0;517;2;1;female;0;1;C.A. 34260;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
0;4;F4;0;Second;Child;Survived;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 39";Child female Second;100;Miss;Miss;4;1;Southampton, United Kingdom;3;S;Southampton;S;4;20;39;Becker, Miss. Marion Louise;1;1;619;2;1;female;2;1;230136;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
0;2;G6;0;Third;Infant;Died;Infant female;1;0;"Boarding passengers: 1
Avg. Fare: 10.460000000000001";Infant female Third;0;Miss;Miss;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;0;10,4625;Strom, Miss. Telma Matilda;1;1;206;3;1;female;0;0;347054;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;29;G6;0;Third;Adult;Died;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 10.460000000000001";Adult female Third;0;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;0;10,4625;Strom, Mrs. Wilhelm (Elna Matilda Persson);1;1;252;3;1;female;1;0;347054;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
0;4;G6;0;Third;Child;Survived;Child female;2;0;"Boarding passengers: 1
Avg. Fare: 16.699999999999999";Child female Third;100;Miss;Miss;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;0;16,7;Sandstrom, Miss. Marguerite Rut;1;1;11;3;1;female;1;1;PP 9549;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;G6;0;Third;Adult;Survived;Adult female;4;0;"Boarding passengers: 1
Avg. Fare: 16.699999999999999";Adult female Third;100;Mrs;Mrs;3;1;Southampton, United Kingdom;3;S;Southampton;S;3;0;16,7;Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson);1;2;395;3;1;female;0;1;PP 9549;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;37;;0;First;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26.550000000000001";Adult male First;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26,55;"Bradley, Mr. George (""George Arthur Brayton"")";1;0;508;1;1;male;0;1;111427;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;45;;0;First;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26.550000000000001";Adult male First;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26,55;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";1;0;188;1;1;male;0;1;111428;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;30;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 0";Adult male First;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;0;Parr, Mr. William Henry Marsh;1;0;634;1;1;male;0;0;112052;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 47.100000000000001";Adult male First;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;47,1;Carrau, Mr. Francisco M;1;0;84;1;1;male;0;0;113059;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;42;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 52";Adult male First;0;Mr;Mr;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;40;52;Holverson, Mr. Alexander Oskar;1;0;36;1;1;male;1;0;113789;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
55;56;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26.550000000000001";Adult male First;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26,55;Smart, Mr. John Montgomery;1;0;468;1;1;male;0;0;113792;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;34;;0;First;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26.550000000000001";Adult male First;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26,55;Seward, Mr. Frederic Kimber;1;0;448;1;1;male;0;1;113794;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;37;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 42.399999999999999";Adult male First;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;42,4;Harrington, Mr. Charles H;1;0;603;1;1;male;0;0;113796;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 31";Adult male First;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;31;Cairns, Mr. Alexander;1;0;271;1;1;male;0;0;113798;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
60;60;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26.550000000000001";Adult male First;0;Col;Col;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26,55;Weir, Col. John;1;0;695;1;1;male;0;0;113800;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;27;;0;First;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 30.5";Adult male First;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;30,5;Daniel, Mr. Robert Williams;1;0;608;1;1;male;0;1;113804;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
60;62;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26.550000000000001";Adult male First;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26,55;Wright, Mr. George;1;0;556;1;1;male;0;0;113807;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;29;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 21";Adult male Second;0;Mr;Mr;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;21;Turpin, Mr. William John Robert;1;0;118;2;1;male;1;0;11668;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;34;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Gillespie, Mr. William Henry;1;0;723;2;1;male;0;0;12233;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;22;;0;Third;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 8.0500000000000007";Adult male Third;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;8,05;Gilinski, Mr. Eliezer;1;0;589;3;1;male;0;0;14973;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;32;;0;Third;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 56.5";Adult male Third;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;56,4958;Bing, Mr. Lee;1;0;75;3;1;male;0;1;1601;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;32;;0;Third;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 56.5";Adult male Third;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;56,4958;Chip, Mr. Chang;1;0;839;3;1;male;0;1;1601;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;32;;0;Third;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 56.5";Adult male Third;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;56,4958;Foo, Mr. Choong;1;0;644;3;1;male;0;1;1601;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;38;;0;Third;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 56.5";Adult male Third;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;56,4958;Lam, Mr. Ali;1;0;693;3;1;male;0;1;1601;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;23;;0;Third;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 56.5";Adult male Third;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;56,4958;Lam, Mr. Len;1;0;827;3;1;male;0;0;1601;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;26;;0;Third;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 56.5";Adult male Third;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;56,4958;Lang, Mr. Fang;1;0;510;3;1;male;0;1;1601;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;Third;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 56.5";Adult male Third;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;40;56,4958;Ling, Mr. Lee;1;0;170;3;1;male;0;0;1601;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;38;;0;First;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 0";Adult male First;0;Jonkheer;Jonkheer;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;0;Reuchlin, Jonkheer. John George;1;0;823;1;1;male;0;0;19972;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;27;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;0;Rev;Rev;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Montvila, Rev. Juozas;1;0;887;2;1;male;0;0;211536;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
50;51;;0;Third;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 8.0500000000000007";Adult male Third;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;8,05;Green, Mr. George Henry;1;0;223;3;1;male;0;0;21440;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;28;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13.5";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13,5;Norman, Mr. Robert Douglas;1;0;563;2;1;male;0;0;218629;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;27;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Bracken, Mr. James H;1;0;222;2;1;male;0;0;220367;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;18;;0;Third;Teen;Died;Teen male;3;0;"Boarding passengers: 1
Avg. Fare: 8.3000000000000007";Teen male Third;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;8,3;Allum, Mr. Owen George;1;0;835;3;1;male;0;0;2223;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;36;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Fox, Mr. Stanley Hubert;1;0;345;2;1;male;0;0;229236;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;18;;0;Second;Teen;Died;Teen male;3;0;"Boarding passengers: 1
Avg. Fare: 11.5";Teen male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;11,5;Andrew, Mr. Edgardo Samuel;1;0;145;2;1;male;0;0;231945;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;23;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Troupiansky, Mr. Moses Aaron;1;0;735;2;1;male;0;0;233639;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;24;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Gill, Mr. John William;1;0;865;2;1;male;0;0;233866;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;48;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Milling, Mr. Jacob Christian;1;0;464;2;1;male;0;0;234360;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;25;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Butler, Mr. Reginald Fenton;1;0;667;2;1;male;0;0;234686;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;18;;0;Second;Teen;Died;Teen male;3;0;"Boarding passengers: 1
Avg. Fare: 13";Teen male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Fahlstrom, Mr. Arne Jonas;1;0;229;2;1;male;0;0;236171;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
25;25;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult male Second;0;Mr;Mr;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Bryhl, Mr. Kurt Arnold Gottfrid;1;0;729;2;1;male;1;0;236853;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
55;59;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13.5";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13,5;Sjostedt, Mr. Ernst Adolf;1;0;233;2;1;male;0;0;237442;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
45;47;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 15";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;15;Jarvis, Mr. John Denzil;1;0;587;2;1;male;0;0;237565;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;42;;0;Second;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Hosono, Mr. Masabumi;1;0;289;2;1;male;0;1;237798;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;21;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 0";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;0;Campbell, Mr. William;1;0;467;2;1;male;0;0;239853;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;22;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 0";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;0;Cunningham, Mr. Alfred Fleming;1;0;414;2;1;male;0;0;239853;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;21;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 0";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;0;"Parkes, Mr. Francis ""Frank""";1;0;278;2;1;male;0;0;239853;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;37;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 0";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;0;"Frost, Mr. Anthony Wood ""Archie""";1;0;482;2;1;male;0;0;239854;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;41;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 0";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;0;Knight, Mr. Robert J;1;0;733;2;1;male;0;0;239855;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;19;;0;Second;Teen;Died;Teen male;3;0;"Boarding passengers: 1
Avg. Fare: 0";Teen male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;0;Watson, Mr. Ennis Hastings;1;0;675;2;1;male;0;0;239856;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
35;35;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26;Fynney, Mr. Joseph J;1;0;21;2;1;male;0;0;239865;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
15;16;;0;Second;Teen;Died;Teen male;3;0;"Boarding passengers: 1
Avg. Fare: 26";Teen male Second;0;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;20;26;Gaskell, Mr. Alfred;1;0;792;2;1;male;0;0;239865;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
40;42;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 27";Adult male Second;0;Mr;Mr;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;27;Jacobsohn, Mr. Sidney Samuel;1;0;218;2;1;male;1;0;243847;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
50;54;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 26";Adult male Second;0;Rev;Rev;2;1;Southampton, United Kingdom;3;S;Southampton;S;2;20;26;Carter, Rev. Ernest Courtenay;1;0;250;2;1;male;1;0;244252;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
30;31;;0;Second;Adult;Survived;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 13";Adult male Second;100;Mr;Mr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;13;Wilhelms, Mr. Charles;1;0;674;2;1;male;0;1;244270;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
20;23;;0;Second;Adult;Died;Adult male;4;0;"Boarding passengers: 1
Avg. Fare: 10.5";Adult male Second;0;Dr;Dr;1;1;Southampton, United Kingdom;3;S;Southampton;S;1;0;10,5;Pain, Dr. Alfred;1;0;399;2;1;male;0;0;244278;10.05.1912 12:00:00;Southampton;United Kingdom;50,9137998;-1,4705322
